epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1530.14,1.09362,1.26744,1.36264,0.64637,0.53237,0.5631,0.32647,1.29186,1.50872,1.51538,0.0005941,0.0005941,0.0005941
43,1555.08,1.01133,1.20891,1.29717,0.66777,0.59289,0.61164,0.36342,1.24747,1.47764,1.4935,0.0005842,0.0005842,0.0005842
44,1581.14,1.04131,1.258,1.3171,0.66777,0.60735,0.62301,0.36362,1.24301,1.46131,1.50061,0.0005743,0.0005743,0.0005743
45,1606.48,1.05885,1.24039,1.30877,0.6401,0.6014,0.59438,0.36223,1.22438,1.4355,1.47492,0.0005644,0.0005644,0.0005644
46,1632.49,1.01128,1.18287,1.30423,0.63677,0.56756,0.5934,0.34503,1.27526,1.43353,1.51267,0.0005545,0.0005545,0.0005545
47,1656.76,0.95681,1.13567,1.2468,0.67358,0.5036,0.57018,0.32723,1.27541,1.54382,1.49576,0.0005446,0.0005446,0.0005446
48,1680.89,1.04126,1.18568,1.31351,0.66093,0.49083,0.55752,0.30771,1.27497,1.55671,1.50978,0.0005347,0.0005347,0.0005347
49,1704.67,1.04308,1.22975,1.307,0.56722,0.59712,0.55683,0.30919,1.30703,1.54743,1.52106,0.0005248,0.0005248,0.0005248
50,1730.06,1.03246,1.16025,1.30557,0.63668,0.56115,0.60261,0.34907,1.31215,1.48011,1.53139,0.0005149,0.0005149,0.0005149
51,1755.52,1.05279,1.20852,1.29688,0.65924,0.51799,0.58692,0.3454,1.26463,1.44956,1.55077,0.000505,0.000505,0.000505
52,1779.04,0.99198,1.17939,1.26641,0.69746,0.4964,0.56295,0.32415,1.23591,1.45211,1.5365,0.0004951,0.0004951,0.0004951
53,1802.79,1.02469,1.21874,1.33574,0.63441,0.4869,0.53823,0.32026,1.2078,1.50511,1.49176,0.0004852,0.0004852,0.0004852
54,1826.75,0.9145,1.11425,1.22279,0.71742,0.47482,0.5584,0.3358,1.22221,1.53664,1.4881,0.0004753,0.0004753,0.0004753
55,1850.99,1.02483,1.17038,1.29643,0.6834,0.51079,0.56762,0.33245,1.24972,1.53842,1.47004,0.0004654,0.0004654,0.0004654
56,1875.45,1.02984,1.18201,1.31676,0.66581,0.51601,0.57788,0.35107,1.25978,1.47404,1.49326,0.0004555,0.0004555,0.0004555
57,1901.83,1.01153,1.17446,1.31243,0.52443,0.55396,0.57458,0.34889,1.2477,1.45331,1.47504,0.0004456,0.0004456,0.0004456
58,1926.1,0.98776,1.13122,1.27634,0.53193,0.56115,0.56202,0.33342,1.2659,1.49107,1.50122,0.0004357,0.0004357,0.0004357
59,1950.92,1.01891,1.16025,1.2686,0.52858,0.56467,0.55785,0.34607,1.19564,1.47897,1.45111,0.0004258,0.0004258,0.0004258
60,1976.84,1.02425,1.16231,1.30817,0.68093,0.47482,0.577,0.35191,1.16548,1.459,1.44096,0.0004159,0.0004159,0.0004159
61,2001.29,0.9752,1.09827,1.27272,0.66824,0.53618,0.58559,0.34054,1.19491,1.45952,1.45008,0.000406,0.000406,0.000406
62,2025.5,1.01025,1.10545,1.27311,0.6409,0.51079,0.57451,0.33829,1.25041,1.47254,1.46179,0.0003961,0.0003961,0.0003961
63,2049.93,1.02548,1.12072,1.28512,0.61654,0.56835,0.58737,0.34347,1.24577,1.43807,1.43869,0.0003862,0.0003862,0.0003862
64,2073.65,0.94699,1.05889,1.23072,0.59877,0.56835,0.58991,0.35344,1.20809,1.3908,1.43519,0.0003763,0.0003763,0.0003763
